# N1 latencies, N1 deflection, N1 Magnitude, SNR condition, EEG Session Counter, Experiment, Session, 1st RT percentiles, 10th RT percentiles, 30th RT percentiles, 50th RT percentiles, 70th RT percentiles, 90th RT percentiles, RT means, Cutoffs, Percent Removed, True Subject Index, Accuracy
192.0000,84.0000,-249.2223,1.0000,23.0000,1.0000,1.0000,539.8400,665.0000,775.8000,866.0000,1007.0000,1288.0000,927.6991,0.0000,0.0000,9.0000,0.5664
187.0000,40.0000,-245.8080,1.0000,32.0000,2.0000,4.0000,502.7000,577.0000,680.0000,740.0000,906.0000,1144.5000,814.7708,0.0000,0.0000,11.0000,0.9375
182.0000,98.0000,-242.9208,1.0000,6.0000,2.0000,5.0000,414.1500,448.3000,493.9000,544.0000,643.2000,764.8000,595.0096,0.0000,0.0000,1.0000,0.8654
166.0000,92.0000,-240.5559,2.0000,6.0000,2.0000,5.0000,343.4800,405.0000,460.2000,497.0000,572.8000,741.2000,540.9143,0.0000,0.0000,1.0000,0.9048
193.0000,108.0000,-240.2205,1.0000,5.0000,2.0000,4.0000,410.6000,450.4000,497.6000,572.0000,650.8000,857.6000,617.9333,0.0000,0.0000,1.0000,0.9238
170.0000,108.0000,-239.7864,2.0000,0.0000,1.0000,1.0000,371.1500,427.0000,525.0000,665.5000,817.0000,1121.5000,718.5472,0.0000,0.0000,1.0000,0.7547
179.0000,92.0000,-235.7106,1.0000,28.0000,1.0000,2.0000,548.3300,621.2000,752.8000,853.0000,1012.4000,1263.0000,899.9808,0.0000,0.0000,11.0000,0.7981
176.0000,112.0000,-234.8138,2.0000,40.0000,2.0000,3.0000,431.0000,475.6000,531.8000,584.5000,654.2000,796.4000,614.9135,0.0000,0.0000,13.0000,0.9038
237.0000,99.0000,-234.4958,1.0000,25.0000,1.0000,1.0000,629.5400,770.2000,893.8000,980.0000,1089.4000,1249.6000,995.3458,0.0000,0.0000,10.0000,0.4766
175.0000,97.0000,-233.8850,2.0000,4.0000,2.0000,3.0000,385.0800,419.0000,489.2000,544.0000,652.0000,854.2000,595.9619,0.0000,0.0000,1.0000,0.8381
202.0000,57.0000,-230.2801,1.0000,26.0000,1.0000,2.0000,395.2000,462.8000,537.4000,621.0000,724.8000,945.0000,669.5138,0.0000,0.0000,10.0000,0.8440
183.0000,109.0000,-229.8963,2.0000,2.0000,2.0000,1.0000,436.2600,538.0000,658.0000,736.0000,850.6000,1022.2000,762.2913,0.0000,0.0000,1.0000,0.7282
163.0000,104.0000,-228.3726,2.0000,20.0000,1.0000,2.0000,399.1400,473.0000,532.2000,569.0000,628.8000,730.4000,588.1776,0.0000,0.0000,7.0000,0.7850
196.0000,86.0000,-226.1185,2.0000,25.0000,1.0000,1.0000,636.7000,829.4000,1007.0000,1102.0000,1180.8000,1349.0000,1095.6408,0.0000,0.0000,10.0000,0.5340
177.0000,82.0000,-222.6144,1.0000,37.0000,1.0000,2.0000,427.1600,477.8000,519.0000,568.0000,622.3000,740.1000,597.7872,0.0000,0.0000,12.0000,0.6596
152.0000,91.0000,-215.5619,2.0000,22.0000,1.0000,2.0000,386.2200,451.4000,505.2000,559.0000,642.8000,791.8000,589.5686,0.0000,0.0000,8.0000,0.7255
191.0000,93.0000,-215.1589,1.0000,30.0000,2.0000,2.0000,514.9600,686.8000,814.4000,947.0000,1117.6000,1301.0000,974.5859,0.0000,0.0000,11.0000,0.8283
